Method,Ratio,SST-2 Acc mean,SST-2 Acc std
AgentCF (Ours),100pct,0.8563000000000001,0.003290896534380809
AgentCF (Ours),10pct,0.6082,0.07538806271552541
AgentCF (Ours),30pct,0.8046666666666665,0.021927228126996188
AgentCF (Ours),50pct,0.8325666666666667,0.003450120770833056
No Augmentation,100pct,0.8360333333333333,0.008655826554023206
No Augmentation,10pct,0.5550333333333334,0.04355000956754584
No Augmentation,30pct,0.5248666666666667,0.014959055228634352
No Augmentation,50pct,0.6827333333333333,0.12154687710234816
Single-LLM + Filtering,100pct,0.8455666666666666,0.0037072002014098323
Single-LLM + Filtering,10pct,0.5183333333333334,0.013236439601846629
Single-LLM + Filtering,30pct,0.7473333333333333,0.10340064474331545
Single-LLM + Filtering,50pct,0.8234,0.00413279566395436
Single-LLM Counterfactual,100pct,0.8466999999999999,0.006309516621738913
Single-LLM Counterfactual,10pct,0.5929000000000001,0.057660471728906294
Single-LLM Counterfactual,30pct,0.7381666666666667,0.11092201464692811
Single-LLM Counterfactual,50pct,0.8268333333333334,0.0060285432181691745
Standard Augmentation,100pct,0.8490333333333333,0.00351330803279952
Standard Augmentation,10pct,0.5699333333333333,0.04772109945645986
Standard Augmentation,30pct,0.8199333333333333,0.010944100389403091
Standard Augmentation,50pct,0.8253,0.002402082429892834
